::ID::,::EN::,::MM::
HOME_USER_INFO,User {0} win {1}!,အသုံးပြုသူ {0} သည် {1} အနိုင်ရ!
HOME_JACKPOT_HEADER,THIS WEEK JACKPOT,ဒီအပတ် ဂျက်ပို့
HOME_JACKFRUIT_LABEL,Your Jackfruit:,သင်၏ မြန်မာသစ်သီး:
HOME_SEE_RANK_LINK,See rank,အဆင့်ကြည့်ရန်
HOME_PLAY_BUTTON, Play ,ကစားရန်
HOME_TUTORIAL_BUTTON,Tutorial,လေ့ကျင့်ခန်း
HOME_LANGUAGE_SELECTOR,En,မြန်မာ
STORE_TITLE,Store,စတိုး
LEADERBOARD_TITLE,LEADERBOARD,အဆင့်စာရင်း
LEADERBOARD_JACKPOT,THIS WEEK JACKPOT, ဒီအပတ် ဂျက်ပို့ 
LEADERBOARD_THIS_WEEK,This week,ဒီအပတ်
LEADERBOARD_TIMER,{0} left,{0} ကျန်တော့သည်
LEADERBOARD_RANK_HEADER,Rank,အဆင့်
LEADERBOARD_USER_HEADER,User,အသုံးပြုသူ
LEADERBOARD_PRIZE_HEADER,Prize Ks,ဆုငွေ ကျပ်
LEADERBOARD_GAMES_HEADER,Games,ဂိမ်းများ
LEADERBOARD_YOUR_RANK,Your Rank,သင်၏အဆင့်
LEADERBOARD_WEEK,Week,နောက်တစ်ခု
LEADERBOARD_ENDED_DATE,Ended {0},ပြီးဆုံးသည် {0}
HISTORY_TITLE,HISTORY,မှတ်တမ်း
GUIDE_TITLE,GUIDE,လမ်းညွှန်
POPUP_CONFIRM_TITLE,Confirmation,အတည်ပြုခြင်း
POPUP_CONFIRM_MESSAGE,"Confirm to purchase 
This package?","ဒီအကွက်ကို ဝယ်တော့မလား
အတည်ပြုပါ?"
POPUP_CONFIRM_BUTTON,Confirm,အတည်ပြုရန်
POPUP_CONFIRM_NO_BUTTON,No,မလုပ်ပါ
POPUP_NOTICE_TITLE,Successfully,အောင်မြင်စွာ
POPUP_NOTICE_MESSAGE,"You have purchased
Successfully!","သင်သည် အောင်မြင်စွာ
ဝယ်ယူပြီးပါပြီ!"
POPUP_NOTICE_OK_BUTTON,Confirm,အတည်ပြုရန်
POPUP_OUT_ENERGY_TITLE,"Oops, no Energy left.",အင်းး၊ စွမ်းအင်မရှိတော့ဘူး။
POPUP_OUT_ENERGY_MESSAGE,Go to STORE and refill now!,စတိုးကိုသွားပြီး ဖြည့်တင်းလိုက်ပါ!
POPUP_OUT_ENERGY_GOTO_BUTTON,Goto Store,စတိုးသွားရန်
POPUP_OUT_ENERGY_NO_BUTTON,No,မလုပ်ပါ
POPUP_RETURN_TITLE,Return,ပြန်သွားရန်
POPUP_RETURN_MESSAGE,Confirm to return to MyID?,MyID သို့ပြန်သွားတော့မလား?
POPUP_RETURN_YES_BUTTON,Yes,လုပ်မည်
POPUP_RETURN_NO_BUTTON,No,မလုပ်ပါ
GAME_HEADER_RESET_LABEL,Reset in,ပြန်လည်စတင်ရန် ကျန်ချိန်
GAME_FOOTER_HOME,Home,ပင်မစာမျက်နှာ
GAME_FOOTER_STORE,Store,စတိုး
GAME_FOOTER_RANK,Rank,အဆင့်
GAME_FOOTER_GUIDE,Guide,လမ်းညွှန်
GAME_FOOTER_HISTORY,History,မှတ်တမ်း
